Numero d'inscription,Nom,Prenom,Date de naissance,Adresse,Mail,Telephone,Section,Niveau d'etude
123456;mtawa;ahmed;2003, 5, 12;moknine;mtawa@gmail.com;28587388;CPI;1er
123457;mahersia;wassim;2003, 3, 20;ksar hlel;mahersia@gmail.com;28587388;CPI;1er
123458;jbali;manar;2003, 7, 20;ksar hlel;jbali@gmail.com;28587388;CPI;1er
123459;krayem;nassim;2003, 3, 15;ksar hlel;krayem@gmail.com;12345655;CPI;1er
000000;hmila;ahmed;2001, 5, 18;sousse;hmila@gmail.com;12345687;ING_INFO;1er
000001;miled;yassin;2002, 6, 8;moknine;miled@gmail.com;12587444;ING_INFO;1er
000002;test;laooo;2002, 6, 8;moknine;test1@gmail.com;12354884;ING_INFO;1er
000003;testt;laoolaoo;2002, 6, 8;moknine;test2@gmail.com;12354885;ING_INFO;1er
000004;testtee;lamooo;2002, 6, 8;moknine;test3@gmail.com;12354885;ING_TIC;1er
000005;tesp;lamo;2002, 6, 8;moknine;test4@gmail.com;12354885;ING_TIC;1er
000006;tesppp;ooo;2002, 6, 8;moknine;test4@gmail.com;12354885;ING_TIC;1er
000008;tesppp;ooo;2002, 6, 8;souse;test5@gmail.com;12354888;ING_TIC;2eme
000009;tesyy;oooaa;2002, 6, 8;souse;test5@gmail.com;12354888;ING_TIC;2eme
000010;tesyy;oooaa;2002, 6, 8;souse;test5@gmail.com;12354888;ING_TIC;2eme
000011;tesyy;oooaa;2002, 6, 8;souse;test6@gmail.com;12354888;EEA;1er
000012;tesyytt;oooaamm;2002, 6, 8;souse;test6@gmail.com;12354888;EEA;1er
000013;lolol;haha;2002, 6, 8;souse;test6@gmail.com;12354888;EEA;1er
000014;lolol;haha;2002, 6, 8;souse;test6@gmail.com;12354888;EEA;1er
000015;lolol;haha;2002, 6, 8;souse;test6@gmail.com;12354888;EEA;2eme
000016;lolol;haha;2002, 6, 8;souse;test8@gmail.com;12354888;EEA;2eme
000017;lolo;hihi;2002, 6, 8;souse;test9@gmail.com;22475333;EEA;2eme
000018;lollll;hihi;2002, 6, 8;souse;test9@gmail.com;58757277;EEA;2eme
000019;lollll;hihi;2002, 6, 8;souse;test9@gmail.com;58757277;EEA;3eme
000020;gfgdc;dgdrg;2002, 6, 8;souse;test9@gmail.com;58757277;EEA;3eme
000021;okoko;kpkpk;2002, 6, 8;souse;test9@gmail.com;58757277;EEA;3eme
000022;koko;kpk;2002, 6, 8;souse;test9@gmail.com;58757277;EEA;3eme
000023;momo;popo;2002, 6, 8;tunis;test81@gmail.com;82745245;TIC;1er
000024;momo;popo;2002, 6, 8;tunis;test81@gmail.com;82745245;TIC;1er
000025;maaaa;popppp;2002, 6, 8;tunis;test81@gmail.com;82745245;TIC;1er
000026;maaaa;popppp;2002, 6, 8;tunis;test81@gmail.com;82745245;TIC;2eme
000027;zazaa;eaea;2002, 6, 8;tunis;test82@gmail.com;82745245;TIC;2eme
000028;zazaazzz;eaeaaa;2002, 6, 8;tunise;test82@gmail.com;82745245;TIC;2eme
000029;zazaazzz;eaeaaa;2002, 6, 8;tunise;test82@gmail.com;82745245;TIC;3eme
000030;trtr;zttztz;2002, 6, 8;tunise;test82@gmail.com;82745245;TIC;3eme
000031;trtr;zttztz;2002, 6, 8;tunise;test82@gmail.com;82745245;TIC;3eme
000032;mpmpm;fyufkf;2002, 6, 8;tunise;test82@gmail.com;82745245;TIC;3eme
123445;eloumi;khadija;2003, 12, 27;manouba;eloumi@gmail.com;25574444;CPI;2eme
123446;nasr;mounib;2003, 12, 27;touzer;nasr@gmail.com;54866322;CPI;2eme
123447;babaa;hyhyh;2003, 12, 27;touzer;nasr@gmail.com;54866322;CPI;2eme
